,label,thresh,coordinates
340,0,0,"['102', '12', '-20', '-99', '0', '5', '0']"
341,0,0,"['105', '10', '-23', '-102', '0', '6', '0']"
342,0,0,"['108', '11', '-25', '-104', '0', '9', '0']"
343,0,0,"['99', '11', '-17', '-97', '1', '13', '-1']"
344,0,0,"['89', '10', '-11', '-88', '5', '17', '-1']"
345,0,0,"['78', '13', '-7', '-77', '8', '19', '0']"
346,0,0,"['66', '20', '-7', '-63', '9', '20', '0']"
347,0,0,"['63', '24', '-3', '-58', '11', '18', '0']"
348,0,0,"['61', '29', '-1', '-54', '11', '14', '1']"
349,0,0,"['61', '35', '-3', '-50', '9', '6', '5']"
350,0,0,"['55', '35', '1', '-42', '8', '0', '10']"
351,0,0,"['58', '31', '-18', '-45', '5', '-8', '13']"
352,0,0,"['62', '24', '-23', '-52', '-1', '-9', '15']"
353,0,0,"['63', '17', '-24', '-56', '-3', '-7', '14']"
354,0,0,"['72', '15', '-29', '-64', '-2', '-4', '13']"
355,0,0,"['82', '17', '-32', '-74', '1', '-1', '13']"
356,0,0,"['86', '17', '-36', '-76', '5', '1', '14']"
357,0,0,"['74', '23', '-33', '-62', '6', '5', '13']"
358,0,0,"['50', '16', '-21', '-42', '9', '15', '12']"
359,0,0,"['20', '19', '-5', '3', '14', '22', '11']"
360,0,0,"['89', '46', '7', '76', '3', '13', '17']"
361,0,0,"['167', '36', '22', '162', '-37', '-41', '40']"
362,0,0,"['223', '-34', '71', '209', '-43', '-43', '41']"
363,1,1,"['1191', '452', '784', '-774', '0', '38', '43']"
364,0,0,"['169', '-32', '-25', '-164', '3', '14', '-1']"
365,0,0,"['113', '4', '-21', '-111', '3', '1', '0']"
366,0,0,"['64', '-17', '-29', '-54', '2', '-1', '0']"
367,0,0,"['57', '-12', '-24', '-50', '0', '1', '0']"
368,0,0,"['97', '-24', '-23', '-91', '0', '2', '0']"
369,0,0,"['108', '-18', '-17', '-105', '0', '1', '1']"
370,0,0,"['92', '-18', '-10', '-90', '0', '0', '1']"
371,0,0,"['79', '-21', '-11', '-75', '3', '0', '0']"
372,0,0,"['84', '-21', '-23', '-78', '1', '0', '0']"
373,0,0,"['88', '-18', '-22', '-83', '2', '1', '0']"
374,0,0,"['91', '-19', '-22', '-86', '4', '1', '0']"
375,0,0,"['92', '-16', '-30', '-85', '1', '1', '0']"
376,0,0,"['91', '-16', '-26', '-86', '0', '0', '0']"
377,0,0,"['89', '-17', '-23', '-84', '0', '0', '0']"
378,0,0,"['86', '-18', '-20', '-82', '0', '0', '0']"
379,0,0,"['89', '-18', '-25', '-83', '1', '0', '0']"
380,0,0,"['85', '-19', '-23', '-80', '0', '1', '0']"
381,0,0,"['94', '-14', '-31', '-88', '0', '0', '0']"
382,0,0,"['90', '-17', '-24', '-85', '-1', '0', '0']"
383,0,0,"['87', '-20', '-23', '-81', '0', '0', '0']"
384,0,0,"['87', '-20', '-23', '-82', '0', '0', '0']"
385,0,0,"['87', '-20', '-22', '-82', '0', '0', '0']"
386,0,0,"['90', '-16', '-23', '-86', '0', '0', '0']"
387,0,0,"['90', '-16', '-24', '-85', '0', '0', '0']"
388,0,0,"['89', '-20', '-27', '-82', '0', '0', '0']"
389,0,0,"['88', '-19', '-24', '-82', '0', '0', '0']"
390,0,0,"['87', '-18', '-20', '-83', '0', '0', '0']"
391,0,0,"['88', '-18', '-23', '-83', '1', '0', '0']"
392,0,0,"['88', '-17', '-25', '-83', '0', '0', '0']"
393,0,0,"['89', '-17', '-27', '-83', '0', '0', '0']"
394,0,0,"['90', '-18', '-27', '-84', '-1', '0', '0']"
395,0,0,"['87', '-17', '-22', '-82', '-1', '0', '0']"
396,0,0,"['87', '-19', '-22', '-82', '0', '0', '0']"
397,0,0,"['90', '-19', '-25', '-84', '0', '0', '0']"
398,0,0,"['89', '-18', '-25', '-84', '0', '0', '0']"
399,0,0,"['89', '-18', '-23', '-84', '-1', '0', '0']"
400,0,0,"['86', '-18', '-22', '-81', '-1', '0', '0']"
401,0,0,"['87', '-20', '-21', '-82', '0', '0', '0']"
402,0,0,"['89', '-20', '-25', '-83', '-1', '0', '0']"
403,0,0,"['91', '-19', '-25', '-85', '-1', '0', '0']"
404,0,0,"['90', '-17', '-27', '-84', '-2', '0', '0']"
405,0,0,"['89', '-17', '-25', '-84', '-3', '0', '0']"
406,0,0,"['91', '-19', '-24', '-86', '-4', '0', '0']"
407,0,0,"['89', '-20', '-19', '-85', '-4', '-1', '0']"
408,0,0,"['91', '-18', '-19', '-87', '-4', '-2', '0']"
